old_index|loss|Validation_loss|score|Validation_score|Old_Complexity|New_Complexity|New_equation|new_score|Validation_new_score
0|0.18963765|0.087350875|0.0|0.0|1|1|-0.235010490000000|0.0|0.0
2|0.13830498|0.04153163|0.0315140150019303|-0.1024279296398162|5|5|0.3745666*x - 0.9510156|0.07891347483937229|0.18586943702347125
1|0.14273293|0.037488244|0.0947132947851862|0.2819685538609822|4|6|0.3355407 - 1/x|-0.03151401500193041|0.10242791511457981
5|0.035759233|0.015366767|0.2286342001573535|0.1442956775426864|9|10|(1 - x**15)/x**18|0.3460416900429267|0.22295504997409551
7|0.0019196419|0.00054268574|1.1745665983831215|1.765021562576294|11|11|4.030358*(1 - x**6)/x**12|2.924669843301636|3.343432064882612
11|0.0015634723|0.0009794107|0.0090885011527286|-0.2569751739501953|17|12|-(9.606502*x - 8.209006)*(x**18 - 1)/x**25|0.20522947713031245|-0.5904206595678286
8|0.0018589639|0.0006003526|0.0160596843597669|-0.0504933670163154|13|14|4.045447/(x**3 + 0.0016597142)**4 - 4.045447/x**6|-0.08655505420538927|0.24471695749515884
13|0.0007907431|0.0003399888|0.5850273098837981|0.5981760025024414|19|18|-1/(0.0936795549837456*(x**4 + x**(-36))**2 + 0.62308633) + x**(-16)|0.213700358058962|0.14215111834580357
12|0.0014194155|0.00061837106|0.0966640139412712|0.4598623812198639|18|19|(x**6 - 1)*(-4.0182676*x**16 + (0.62308633*x**4 - 1)**4)/x**28|-0.585027309883798|-0.5981760220981044
14|0.0006619625|0.0003398614|0.0888821142238472|0.0001873724977485|21|20|-1/(0.0927039416971684*(x**4 + 0.7435166/x**48)**2 + 0.6366521) + x**(-16)|0.7627915383314926|0.5985508105485345
27|0.00037343035|0.00020035022|0.0074558607396621|0.0136449178680777|40|22|-1/(0.08568306645889*(x**4 - 0.996767383697929/x**3 + x**(-48))**2 + 0.80318775250884) + x**(-16)|0.2862386999368667|0.26423547614041015
16|0.00062322395|0.0003199923|0.0032194709479451|0.0315665155649185|25|23|-1/(0.0936795549837456*(x**4 + 0.7102177/(x**32 - 0.135185093))**2 + 0.62308633) + x**(-16)|-0.5121744165653381|-0.46822999784435204
17|0.0006088531|0.00033116655|0.0233289009923365|-0.0343244522809982|26|24|-1/(0.0955028351882089*(x**4 - 1/x**4 + x**(-48))**2 + 0.7873059) + 1/(x**16 + 0.007101226)|0.023328900992336567|-0.034324488029549856
20|0.00045535993|0.0002385646|0.1443251384386083|0.1654309332370758|32|25|-1/(0.08568306645889*(x**4 - 1/(x + (x**4 - x)**3) + x**(-48))**2 + 0.80318775250884) + x**(-16)|0.29048886232917176|0.327981287842458
15|0.0006272498|0.00034084573|0.0269320207062524|-0.0014460019301623|23|26|(-x**112 + 0.7873059*x**96 + 0.0955028351882089*(x**52 - x**44 + 1)**2)/(x**16*(0.7873059*x**96 + 0.0955028351882089*(x**52 - x**44 + 1)**2))|-0.3202567052173986|-0.35678983703419936
22|0.00045170364|0.00023806117|0.0039459693192878|0.0010065134847536|35|28|-1/(0.08568306645889*(x**4 - 1/(1.00649671769761*x + 1.00649671769761*(x**4 - x)**3) + x**(-48))**2 + 0.80318775250884) + x**(-16)|0.164159282660194|0.17945115638526044
23|0.0004400769|0.00024316573|0.0260768167053548|-0.0212156418710947|36|29|-1/(0.08568306645889*(x**4 - 1/(1.0032431*x + 1.0032431*(x**4 - x)**3 + 0.105291241182712) + x**(-48))**2 + 0.80318775250884) + x**(-16)|0.026076816705354815|-0.021215569878882946
28|0.00036661455|0.00018565445|0.0010835578988667|0.0044811617802171|57|41|-1/(0.0955028351882089*(x**4 - x*((1/(x + 0.007101226) - 1/(0.7873059 + 109.639607135188/((x**4 + 0.00910364551563043/x**64)**2 + 0.228181185230744)**2))**2 - 1/x**48))**2 + 0.7873059) + x**(-16)|0.015219871726351681|0.022488006430199128
31|0.0003140538|0.00015981946|0.0773804849558194|0.1295332163572311|61|43|-1/(0.0955028351882089*(-x**4 + x*((1/(0.007101226*x**4 + x) - 1/(0.7873059 + 75.3179709888212/(0.635074343072749*x**4 - 0.50515039918602 + x**(-2))**6))**2 - 1/x**48))**2 + 0.7873059) + 1/(x**16 + 0.007101226)|0.07737335742056052|0.07492117351603622
33|0.00030431082|0.00016626813|8.993284764488396e-05|6.759623647667468e-05|65|44|-1/(0.0955028351882089*(-x**4 + x*((1/(0.007101226*x**4 + x) - 1/(0.7873059 + 17.8346972435193/(x*(0.635074343072749*x**4 - 0.50515039918602 + x**(-4))**4)))**2 - 1/x**48) + 0.0295137501883237)**2 + 0.7873059) + 1/(x**16 + 0.007101226)|0.03151469552437237|-0.0395569230822793
29|0.00034403458|0.00017948677|0.0635688480752972|0.0337856672704219|58|46|-1/(0.0955028351882089*(-x**4 + x*((1/(0.7873059 + 17.8346972435193/(x*((0.635074343072749*x**4 - 0.19626040918602 + x**(-4))**2 - 0.429745074621949)**2)) - 0.992948845839256/x)**2 - 1/x**48) + 0.16462682)**2 + 0.7873059) + 1/(x**16 + 0.007101226)|-0.061346281145098165|-0.03824988712744676
30|0.0003393204|0.000181922|0.0068986909050022|-0.0067382929846644|60|48|-1/(0.0955028351882089*(-x**4 + x*((1/(0.7873059 + 17.8346972435193/(x*((0.635074343072749*x**4 - 0.19626040918602 + (x**2 - 0.07437268)**(-2))**2 - 0.429745074621949)**2)) - 0.992948845839256/x)**2 - 1/x**48) + 0.16462682)**2 + 0.7873059) + 1/(x**16 + 0.007101226)|0.006898690905002215|-0.006738261654305778
